HARD BULLET,"22 Oct, 2020","Overall user reviews:
Very Positive
						(1,641 reviews)","Simulation, Action, VR, Gore, Violent, Indie, Sandbox, Adventure, Early Access, Physics, Shooter, Action-Adventure, Cinematic, Arena Shooter, First-Person, Destruction, Bullet Time, Atmospheric, Shoot 'Em Up, Casual"
Sweet Love,"30 Jul, 2020","Overall user reviews:
8 user reviews","Emotional, Female Protagonist, Narration, Story Rich, 2D Platformer, Minimalist, Dark, Stylized, Action, Fast-Paced, Platformer, Indie, 2D, Singleplayer"
Mr. Sweet,"15 Aug, 2018","Overall user reviews:
7 user reviews","Indie, Early Access"
Feline Sweet,"1 Dec, 2021",None,"Puzzle Platformer, Cats, Level Editor, Cute, Difficult, Action, Indie, Puzzle, Early Access, 2D, Arcade, Controller, 2D Platformer, Family Friendly, Magic, Singleplayer, Strategy, Cartoony"
Sweet Treats,"17 Jul, 2018","Overall user reviews:
2 user reviews","Casual, Strategy, Indie, Match 3"
Sweet Tooth,"7 Sep, 2020",None,"Side Scroller, 2D Platformer, Clicker, 2D, Puzzle, Minimalist, Physics, Space, Indie, 1980s, Singleplayer"
Sweet Time,"19 Nov, 2020","Overall user reviews:
2 user reviews","Casual, Adventure, RPG, Simulation, Visual Novel, JRPG, 2D, Anime, Sexual Content, Indie, Story Rich, Singleplayer"
CUSTOM ORDER MAID 3D2 × NEKO WORKS: NEKOPARA - Dance SWEET×SWEET,Coming soon,None,"Adventure, Indie, Simulation"
VR Sweet Heart,"20 Feb, 2022","Overall user reviews:
6 user reviews","Casual, Simulation, RPG, Dating Sim, VR, JRPG, Sexual Content, 3D Platformer, Female Protagonist, Singleplayer"
House Flipper - Pets DLC,"12 May, 2022",None,"Simulation, Casual, Indie, Family Friendly, Dog, Cats, Cute, Addictive, Realistic, Singleplayer, Base Building, Economy, Great Soundtrack, Stylized, Destruction, First-Person, Controller, Atmospheric, Management, Sandbox"
Rivals of Aether,"28 Mar, 2017","Overall user reviews:
Overwhelmingly Positive
						(20,872 reviews)","Fighting, 2D Fighter, Pixel Graphics, Multiplayer, Indie, Local Multiplayer, Competitive, Great Soundtrack, 2D, 4 Player Local, Platformer, Action, Games Workshop, Controller, Arcade, Beat 'em up, Singleplayer, Moddable, Retro, GameMaker"
RaceRoom Racing Experience,"12 Feb, 2013","Overall user reviews:
Mostly Positive
						(16,727 reviews)","Racing, Automobile Sim, Free to Play, Multiplayer, Simulation, Driving, Sports, Singleplayer, Realistic, Action, Controller, First-Person, Open World, VR, Massively Multiplayer, Online Co-Op, Co-op, Adventure, Casual, FPS"
Lazy Sweet Tycoon,"11 Aug, 2021","Overall user reviews:
6 user reviews","Clicker, Idler, Capitalism, Casual, Management, Replay Value, Economy, Cute, Voxel, Simulation, Multiplayer, Singleplayer, Colorful, Family Friendly, 3D, Science, Strategy, Indie, Building, Multiple Endings"
My Sweet Ants!,"23 Apr, 2021","Overall user reviews:
2 user reviews","Simulation, Indie, Casual, Choices Matter, Dating Sim, Multiple Endings, Singleplayer, Story Rich, Emotional, Cute, Adventure, RPG, Visual Novel, Choose Your Own Adventure, Conversation, Nostalgia, 2D, Romance, Typing, Horror"
Sweet Fantasy - Artbook,"12 Apr, 2022","Overall user reviews:
3 user reviews","Adventure, Indie, Casual"
Sweet Candy Mahjong,"29 Sep, 2016","Overall user reviews:
6 user reviews","Indie, Casual, Cute"
Sweet Match 3,"23 Sep, 2021",None,"Casual, Puzzle, Exploration, Clicker, 2D, Cute, Atmospheric, Linear, Indie, Singleplayer"
Sweet Tooth 2,"7 Sep, 2020",None,"Side Scroller, 2D Platformer, Clicker, 2D, Puzzle, Minimalist, Space, Physics, Indie, 1980s, Singleplayer"
Sweet Galaxy Adventure!,"3 Jul, 2019","Overall user reviews:
7 user reviews","Adventure, Simulation, Sexual Content, Visual Novel, Anime"
Sweet Tooth 3,"4 Sep, 2020","Overall user reviews:
1 user reviews","Casual, Puzzle Platformer, Difficult, 2D, Relaxing, Puzzle, Logic, Physics, Indie, Singleplayer"
LYDIA: SWEET DREAMS,"3 Oct, 2016","Overall user reviews:
3 user reviews","Action, Indie"
Sweet Surrender Soundtrack,"30 Sep, 2021",None,
Sweet Home Puzzle,"4 Jun, 2021","Overall user reviews:
2 user reviews","Casual, Puzzle, Relaxing, Minimalist, Colorful, Tabletop, Family Friendly, Board Game, Puzzle Platformer, Indie, Point & Click, Solitaire, Singleplayer"
Taimumari: Sweet Legend,"3 Jan, 2017","Overall user reviews:
3 user reviews","Action, Indie"
Semi-Sweet Tofu,"3 May, 2018","Overall user reviews:
4 user reviews","Adventure, Indie, Casual"
sweet pool Demo,"6 Nov, 2018","Overall user reviews:
2 user reviews","Adventure, Gore, Violent, Sexual Content"
Sweet Pea Demo,"9 Sep, 2020",None,Gore
Feline Sweet Demo,"31 Aug, 2021",None,
Sweet Magic Madness,"20 Feb, 2019",None,"Action, Adventure, Indie"
Firework,"3 Feb, 2021","Overall user reviews:
Overwhelmingly Positive
						(23,473 reviews)","Indie, Horror, Puzzle, Drama, 2D, Mystery, Atmospheric, Singleplayer, Psychological Horror, Hand-drawn, Visual Novel, Old School, Thriller, Retro, Supernatural, RPG, Conversation, Narration, Puzzle Platformer, Text-Based"
Hidden Object - Sweet Home,"16 Oct, 2017","Overall user reviews:
Mostly Negative
						(38 reviews)","Investigation, Puzzle Platformer, Casual, Hidden Object, Point & Click, Female Protagonist, 2D, Cute, Conversation, Puzzle, Simulation, Colorful, Family Friendly, Cartoon, Old School, Retro, Adventure, Singleplayer, Indie, Short"
DJMAX RESPECT V - V EXTENSION II PACK,"24 Jan, 2022","Overall user reviews:
Very Positive
						(304 reviews)","Action, Casual, Sports, Racing, Music"
Rocksmith - Sweet - Ballroom Blitz,"2 Apr, 2013",None,"Casual, Simulation"
Groove Coaster - Sweet Love,"18 Mar, 2019",None,Action
Jigsaw Pieces - Sweet Times,"15 Feb, 2021","Overall user reviews:
2 user reviews","Puzzle, Tabletop, Cute, Family Friendly, Relaxing, Colorful, Adventure, Singleplayer, Arcade, Education, Point & Click, Clicker, Atmospheric, Logic, Nature, Retro, Puzzle Platformer, 2D, Difficult, Soundtrack"
Hentai Sweet Girls - Soundtrack,"14 Jun, 2019","Overall user reviews:
1 user reviews","Indie, Casual"
Sweet and Hot Soundtrack,"20 Aug, 2020","Overall user reviews:
1 user reviews",
Sweet and Cute Soundtrack,"10 Aug, 2020",None,
Royal Agents: Sweet Zombie,"14 Sep, 2017","Overall user reviews:
3 user reviews","Strategy, Gore, Violent, Zombies"
Sweet Home Puzzle Demo,"14 Sep, 2021",None,
Home Sweet Home Demo,"30 Jul, 2017","Overall user reviews:
Positive
						(14 reviews)","Adventure, Gore"
OVR Toolkit,"28 Jun, 2019","Overall user reviews:
Very Positive
						(1,678 reviews)","Utilities, VR"
Path Of Wuxia,"30 Apr, 2020","Overall user reviews:
Very Positive
						(25,759 reviews)","RPG, Indie, Martial Arts, Turn-Based, Early Access, Female Protagonist, Anime, Turn-Based Combat, Choices Matter, Time Management, Dating Sim, Character Customization, Simulation, Story Rich"
Rocksmith® 2014 – Aerosmith - “Sweet Emotion”,"7 Jan, 2014",None,"Casual, Simulation"
Soulash,"4 Mar, 2022","Overall user reviews:
Mostly Positive
						(246 reviews)","RPG, Traditional Roguelike, Fantasy, Villain Protagonist, Open World, Roguelike, Turn-Based, Difficult, Perma Death, Loot, Turn-Based Combat, Dark Fantasy, Moddable, Pixel Graphics, Crafting, Combat, Procedural Generation, Singleplayer, Destruction, Level Editor"
School Sweets Discovery ～granulated sugar edition～,"10 May, 2022",None,"Adventure, Casual, Visual Novel, Word Game, 2D Platformer, Choose Your Own Adventure, 2D, Cute, Hand-drawn, Education, Free to Play, Indie, Modern, Multiple Endings, Female Protagonist, Singleplayer"
Sweet F. Cake: Full Soundtrack,"30 May, 2020","Overall user reviews:
4 user reviews","Adventure, Indie, Casual, Soundtrack, Music, Story Rich, Great Soundtrack, Visual Novel, Romance, 1990's, 1980s"
1001 Jigsaw. Home Sweet Home,"10 Dec, 2018","Overall user reviews:
7 user reviews",Casual
Sweet Solitaire. School Witch 2,"24 Apr, 2022",None,"Casual, Card Game, Solitaire, 2D, Magic, Singleplayer"
Home Designer - Home Sweet Home,"11 Feb, 2021","Overall user reviews:
5 user reviews","Casual, Hidden Object, Family Friendly, Female Protagonist, Singleplayer"
Blood of Steel:Sweet JK,"29 Sep, 2021","Overall user reviews:
1 user reviews","Massively Multiplayer, Strategy, Action, Gore, Violent, Wargame, Free to Play"
Fate/EXTELLA - Sweet Room Dream,"25 Jul, 2017","Overall user reviews:
3 user reviews",Action
Sweet Holiday Jigsaws: Halloween Night,"30 Oct, 2020",None,"Puzzle Platformer, Clicker, Puzzle, Board Game, Point & Click, Tabletop, Strategy, 2D, Cute, Colorful, Adventure, Horror, Dark, Relaxing, Family Friendly, Level Editor, Atmospheric, Singleplayer, Soundtrack, Mystery"
DYSMANTLE,"16 Nov, 2021","Overall user reviews:
Very Positive
						(6,452 reviews)","Survival, Open World, Crafting, RPG, Adventure, Zombies, Base Building, Exploration, Action, Destruction, Top-Down, Indie, Dystopian , Fishing, Hunting, Sandbox, Agriculture, Loot, Simulation, Atmospheric"
Bullet Girls Phantasia,"16 Jan, 2020","Overall user reviews:
Very Positive
						(494 reviews)","JRPG, Third-Person Shooter, Female Protagonist, Hack and Slash, Shooter, Visual Novel, Cute, Funny, Action, Anime, Sexual Content, Hentai, Nudity, Fantasy, Comedy, Singleplayer, Family Friendly, Cult Classic, Mature, Multiplayer"
Pogostuck: Rage With Your Friends,"28 Feb, 2019","Overall user reviews:
Very Positive
						(3,667 reviews)","Psychological Horror, Precision Platformer, Difficult, Multiplayer, Adventure, Action, Platformer, Funny, Indie, Side Scroller, Procedural Generation, Replay Value, Singleplayer, Co-op, 2.5D, Roguelite, Casual, Skating, Skateboarding, Colorful"
Metal Unit,"27 Jan, 2021","Overall user reviews:
Very Positive
						(1,242 reviews)","Action, Indie, RPG, Adventure, Female Protagonist, Pixel Graphics, Roguelite, Anime, Action Roguelike, Roguevania, Metroidvania, Side Scroller, 2D, Singleplayer, Cute, Mechs, Exploration, Early Access, Story Rich, Difficult"
NEKOPARA Vol. 4,"26 Nov, 2020","Overall user reviews:
Overwhelmingly Positive
						(6,568 reviews)","Shooter, Sexual Content, Anime, Hentai, Visual Novel, First-Person, Nudity, Cute, Story Rich, Mature, Singleplayer, Casual, Dating Sim, 2D, Colorful, Adventure, Comedy, Hand-drawn, Choices Matter, Indie"
Pistol Whip,"7 Nov, 2019","Overall user reviews:
Very Positive
						(2,780 reviews)","Action, Indie, Shooter, VR, Music, On-Rails Shooter, Rhythm, Great Soundtrack, First-Person, FPS, Soundtrack, Bullet Hell, Arcade, Sports, Boxing"
Qualia's Sweets Craft,"27 Aug, 2021","Overall user reviews:
1 user reviews","Action, Casual, Puzzle, 2D Platformer, Side Scroller, 2D, Cute, Anime, Pixel Graphics, Dark Fantasy, Fantasy, Magic, Female Protagonist, Story Rich, Singleplayer"
Cooking Simulator - Cakes and Cookies,"11 Jun, 2020","Overall user reviews:
Mixed
						(258 reviews)","Simulation, Funny, Singleplayer, Sandbox, First-Person, Physics, Crafting, Relaxing, Cooking, Family Friendly, Realistic, Education, Resource Management, Management, Replay Value, Building, Comedy, Economy, Memes"
Rocksmith® 2014 – Roy Buchanan - “Sweet Dreams”,"10 Jun, 2014","Overall user reviews:
2 user reviews","Casual, Simulation"
Zipple World 2: The Sweet Chaos,"17 May, 2016","Overall user reviews:
3 user reviews","Action, Indie, Casual"
New Outfit for Lydie - Smart & Sweet,"8 May, 2018","Overall user reviews:
1 user reviews",RPG
Seed of the Dead: Sweet Home Theme Songs,"27 Aug, 2021","Overall user reviews:
8 user reviews","Action, FPS, Anime, Funny, Singleplayer, Cute"
Kathy Rain: Director's Cut,"26 Oct, 2021","Overall user reviews:
Very Positive
						(240 reviews)","Point & Click, Female Protagonist, Pixel Graphics, 1990's, Detective, Mystery, Investigation, Story Rich, Puzzle, Emotional, Adventure, Atmospheric, Visual Novel, Exploration, Hand-drawn, Dark, 2D, Soundtrack, Singleplayer, Narrative"
Beat Saber: Gwen Stefani – 'The Sweet Escape ft. Akon',"27 May, 2021","Overall user reviews:
6 user reviews",Indie
Little Misfortune,"18 Sep, 2019","Overall user reviews:
Very Positive
						(4,239 reviews)","Adventure, Point & Click, Indie, Choices Matter, Story Rich, Psychological Horror, Horror, Female Protagonist, Singleplayer, Cute, Atmospheric, Dark Humor, Dark, Casual, Great Soundtrack, Funny, Dark Fantasy, 2D, Interactive Fiction, Puzzle"
1001 Jigsaw Home Sweet Home Wedding Ceremony,"26 Jan, 2021","Overall user reviews:
1 user reviews","Casual, Puzzle, Singleplayer, Indie, Adventure"
Journey To The Savage Planet,"28 Jan, 2021","Overall user reviews:
Very Positive
						(3,483 reviews)","Adventure, Action, Exploration, Action-Adventure, 3D Platformer, Arcade, First-Person, Colorful, Multiplayer, Shoot 'Em Up, Comedy, Dark Comedy, 1990's, Dark Humor, Co-op, Story Rich, Singleplayer, Metroidvania, Violent, 1980s"
Rocksmith® 2014 – Mötley Crüe - “Home Sweet Home”,"15 Dec, 2015",None,"Casual, Simulation"
Lemon Cake,"18 Feb, 2021","Overall user reviews:
Very Positive
						(895 reviews)","Simulation, Casual, Farming Sim, Time Management, Management, Cute, Life Sim, RPG, Colorful, Agriculture, 3D, Family Friendly, Indie, Relaxing, Cooking, Character Customization, Crafting, Building, Singleplayer"
No Turning Back - Skill Upgrade - Sweet Talker,"15 Jul, 2020",None,"Action, Adventure, RPG, Indie"
Clicker Heroes,"13 May, 2015","Overall user reviews:
Very Positive
						(57,278 reviews)","Clicker, Free to Play, Casual, Singleplayer, 2D, Indie, Funny, Addictive, RPG, Adventure, Fantasy, Family Friendly, Strategy, Simulation, Multiplayer, Touch-Friendly, Idler, Management, Action, Illuminati"
NEKO-MIMI SWEET HOUSEMATES Vol. 1 Demo,"18 Feb, 2022","Overall user reviews:
1 user reviews",Sexual Content
Surviving Mars: In-Dome Buildings Pack,"15 Mar, 2021","Overall user reviews:
Mostly Positive
						(40 reviews)","Simulation, Strategy"
When The Past Was Around,"22 Sep, 2020","Overall user reviews:
Overwhelmingly Positive
						(2,074 reviews)","Hidden Object, Surreal, Female Protagonist, Cute, Relaxing, Atmospheric, Interactive Fiction, Singleplayer, Hand-drawn, Point & Click, 2D, Casual, Story Rich, Puzzle, Romance, Abstract, Stylized, Philosophical, Music, Adventure"
Zoo 2: Animal Park,"24 Aug, 2020","Overall user reviews:
Very Positive
						(766 reviews)","Casual, Building, City Builder, Cute, Simulation, Management, Crafting, Life Sim, 3D, Relaxing, Narration, Colorful, Atmospheric, Cartoon, Singleplayer, Strategy, Horses, Economy, Free to Play, 3D Platformer"
1001 Jigsaw. Home Sweet Home. Back from Vacation,"21 Oct, 2021","Overall user reviews:
3 user reviews","Casual, Puzzle, Singleplayer, Indie, Adventure"
PuPu's Adventure Park,TBD,None,"Management, Simulation, Strategy, Indie, Building, Cute, 2D, JRPG, CRPG, Fantasy, Resource Management, Economy, Mystery Dungeon, Singleplayer, City Builder, Anime, Drama, Funny"
Gloria Victis: Medieval MMORPG,"9 Jun, 2016","Overall user reviews:
Mostly Positive
						(5,063 reviews)","Early Access, MMORPG, Medieval, Open World, Action, Massively Multiplayer, RPG, Character Customization, Simulation, Multiplayer, Indie, PvP, Immersive Sim, Atmospheric, Open World Survival Craft, Realistic, Crafting, Adventure, Survival, Swordplay"
Project Haven,2022,None,"Turn-Based Strategy, Co-op, 3D, Tactical, RPG, Strategy, Dystopian , Turn-Based Combat, Moddable, Turn-Based Tactics, Story Rich, Stealth, Turn-Based, Cyberpunk, Singleplayer, Violent, Tactical RPG, Sci-fi, Perma Death, Top-Down"
